Task size,Pages,Task size local ,Task size rem,Distance,Comtime,Decision
88,17,1690.38,2934.07,40,12.5,0
115,5,434.92,1430.58,1,5.5,0
115,5,434.92,1430.58,2,5.5,0
115,5,434.92,1430.58,3,5.8,0
115,5,434.92,1430.58,4,5.9,0
115,5,434.92,1430.58,5,5.9,0
115,5,434.92,1430.58,6,6,0
115,5,434.92,1430.58,7,6,0
115,5,434.92,1430.58,8,6,0
115,5,434.92,1430.58,9,6.3,0
115,5,434.92,1430.58,10,6.3,0
115,5,434.92,1430.58,11,6.5,0
115,5,434.92,1430.58,12,6.4,0
115,5,434.92,1430.58,13,6.4,0
115,5,434.92,1430.58,14,6.5,0
115,5,434.92,1430.58,15,6.5,0
115,5,434.92,1430.58,16,6.5,0
115,5,434.92,1430.58,17,6.7,0
115,5,434.92,1430.58,18,7.1,0
115,5,434.92,1430.58,19,7.7,0
115,5,434.92,1430.58,20,8,0
115,5,434.92,1430.58,21,8,0
115,5,434.92,1430.58,22,8.1,0
115,5,434.92,1430.58,23,8.4,0
115,5,434.92,1430.58,24,8.6,0
115,5,434.92,1430.58,25,8.8,0
115,5,434.92,1430.58,26,9.1,0
115,5,434.92,1430.58,27,9.3,0
115,5,434.92,1430.58,28,10.1,0
115,5,434.92,1430.58,29,10.4,0
115,5,434.92,1430.58,30,11,0
115,5,434.92,1430.58,31,11,0
115,5,434.92,1430.58,32,11.2,0
115,5,434.92,1430.58,33,11.4,0
115,5,434.92,1430.58,34,11.4,0
115,5,434.92,1430.58,35,11.5,0
115,5,434.92,1430.58,36,11.5,0
115,5,434.92,1430.58,37,11.6,0
115,5,434.92,1430.58,38,12,0
115,5,434.92,1430.58,39,12.2,0
115,5,434.92,1430.58,40,12.5,0
119,4,601.84,1158.37,1,5.5,0
119,4,601.84,1158.37,2,5.5,0
119,4,601.84,1158.37,3,5.8,0
119,4,601.84,1158.37,4,5.9,0
119,4,601.84,1158.37,5,5.9,0
119,4,601.84,1158.37,6,6,0
119,4,601.84,1158.37,7,6,0
119,4,601.84,1158.37,8,6,0
119,4,601.84,1158.37,9,6.3,0
119,4,601.84,1158.37,10,6.3,0
119,4,601.84,1158.37,11,6.5,0
119,4,601.84,1158.37,12,6.4,0
119,4,601.84,1158.37,13,6.4,0
119,4,601.84,1158.37,14,6.5,0
119,4,601.84,1158.37,15,6.5,0
119,4,601.84,1158.37,16,6.5,0
119,4,601.84,1158.37,17,6.7,0
119,4,601.84,1158.37,18,7.1,0
119,4,601.84,1158.37,19,7.7,0
119,4,601.84,1158.37,20,8,0
119,4,601.84,1158.37,21,8,0
119,4,601.84,1158.37,22,8.1,0
119,4,601.84,1158.37,23,8.4,0
119,4,601.84,1158.37,24,8.6,0
119,4,601.84,1158.37,25,8.8,0
119,4,601.84,1158.37,26,9.1,0
119,4,601.84,1158.37,27,9.3,0
